Pos  Team,Main,Poin,Menang,Seri,Kalah,Goal,-/+
1  Real Madrid,38,95,29,8,1,87,61
2  Barcelona,38,85,26,7,5,79,35
3  Girona,38,81,25,6,7,85,39
4  Atletico Madrid,38,76,24,4,10,70,27
5  Athletic Club,38,68,19,11,8,61,24
6  Real Sociedad,38,60,16,12,10,51,12
7  Real Betis,38,57,14,15,9,48,3
8  Villarreal,38,53,14,11,13,65,0
9  Valencia,38,49,13,10,15,40,-5
10  Alaves,38,46,12,10,16,36,-10
11  Osasuna,38,45,12,9,17,45,-11
12  Getafe,38,43,10,13,15,42,-12
13  Sevilla,37,41,10,11,16,47,-5
14  Celta Vigo,37,40,10,10,17,44,-11
15  Las Palmas,37,39,10,9,18,32,-14
16  Rayo Vallecano,38,38,8,14,16,29,-19
17  Mallorca,37,37,7,16,14,31,-12
18  Cadiz,38,33,6,15,17,26,-29
19  Granada CF,38,21,4,9,25,38,-41
20  Almeria,37,18,2,12,23,37,-37
10  Osasuna,38,45,12,9,17,45,-11
11  Alaves,37,45,12,9,16,35,-10
19  Almeria,38,21,3,12,23,43,-32
20  Granada CF,38,21,4,9,25,38,-41
14  Mallorca,38,40,8,16,14,33,-11
15  Celta Vigo,37,40,10,10,17,44,-11
16  Las Palmas,38,40,10,10,18,33,-14
17  Rayo Vallecano,38,38,8,14,16,29,-19
13  Celta Vigo,38,41,10,11,17,46,-11
14  Sevilla,38,41,10,11,17,48,-6
15  Mallorca,38,40,8,16,14,33,-11
